#                                                                                                                                  --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                       accession  query name               accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                               ------------------- ----------     -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IMGVR_UViG_3300026851_000043|3300026851|Ga0209070_100046|34435-75492_52             -          phage-family-interpro-v4 -           3.6e-233  786.1   0.0    4e-233  785.9   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_010327|3300045988|Ga0495776_100028_19                         -          phage-family-interpro-v4 -           3.9e-233  785.9   0.0  4.8e-233  785.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008427|3300045988|Ga0495776_002558_37                         -          phage-family-interpro-v4 -           4.1e-233  785.9   0.0  4.9e-233  785.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_014362|3300045988|Ga0495776_071933_43                         -          phage-family-interpro-v4 -           4.3e-233  785.8   0.0  5.3e-233  785.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_007400|3300045988|Ga0495776_055623_7                          -          phage-family-interpro-v4 -           4.3e-233  785.8   0.0  5.2e-233  785.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_010315|3300045988|Ga0495776_019624_36                         -          phage-family-interpro-v4 -           4.3e-233  785.8   0.0  5.2e-233  785.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008078|3300045988|Ga0495776_112819_45                         -          phage-family-interpro-v4 -           4.5e-233  785.7   0.0  5.5e-233  785.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008092|3300045988|Ga0495776_112378_8                          -          phage-family-interpro-v4 -           4.5e-233  785.7   0.0  5.5e-233  785.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2515154157_000004|2515154157|2515167231|255400-298127_50                 -          phage-family-interpro-v4 -           4.7e-233  785.7   0.1  5.5e-233  785.4   0.1   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008319|3300045988|Ga0495776_010050_49                         -          phage-family-interpro-v4 -             5e-233  785.6   0.0  6.1e-233  785.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009457|3300045988|Ga0495776_019403_19                         -          phage-family-interpro-v4 -           5.2e-233  785.5   0.0  6.2e-233  785.3   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_010355|3300045988|Ga0495776_002568_32                         -          phage-family-interpro-v4 -           5.2e-233  785.5   0.0  6.4e-233  785.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009375|3300045988|Ga0495776_008201_4                          -          phage-family-interpro-v4 -           6.2e-233  785.3   0.0  7.4e-233  785.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009384|3300045988|Ga0495776_110820_44                         -          phage-family-interpro-v4 -           6.2e-233  785.3   0.0  7.5e-233  785.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_004904|3300045988|Ga0495776_110399_7                          -          phage-family-interpro-v4 -             8e-233  784.9   0.0  9.6e-233  784.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009278|3300045988|Ga0495776_001131_41                         -          phage-family-interpro-v4 -             8e-233  784.9   0.0  9.6e-233  784.6   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009270|3300045988|Ga0495776_002495_45                         -          phage-family-interpro-v4 -           1.2e-232  784.3   0.0  1.4e-232  784.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009344|3300045988|Ga0495776_002540_22                         -          phage-family-interpro-v4 -           1.2e-232  784.3   0.0  1.4e-232  784.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009302|3300045988|Ga0495776_173238_21                         -          phage-family-interpro-v4 -           1.7e-232  783.8   0.0  2.1e-232  783.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_010254|3300045988|Ga0495776_173120_21                         -          phage-family-interpro-v4 -           1.7e-232  783.8   0.0  2.1e-232  783.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_015706|3300045988|Ga0495776_002125_31                         -          phage-family-interpro-v4 -           1.7e-232  783.8   0.0  2.1e-232  783.5   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_021343|3300045988|Ga0495776_070998_18                         -          phage-family-interpro-v4 -           2.3e-232  783.4   0.0  2.8e-232  783.1   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300011240_000048|3300011240|Ga0122762_100099|21591-64209_1              -          phage-family-interpro-v4 -           2.5e-232  783.3   0.0  2.7e-232  783.1   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300035493_000027|3300035493|Ga0376446_000248_30                         -          phage-family-interpro-v4 -           2.8e-232  783.1   0.0  3.2e-232  782.9   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_019893|3300045988|Ga0495776_025002_40                         -          phage-family-interpro-v4 -           2.9e-232  783.1   0.0  3.5e-232  782.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008394|3300045988|Ga0495776_027873_41                         -          phage-family-interpro-v4 -           3.3e-232  782.9   0.0    4e-232  782.6   0.0   1.0   1   0   0   1   1   1   1 -
