# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  hmm/phage-family-interpro-v4.hmm
# target sequence database:        phagescope/IMG_VR.fasta
# output directed to file:         output/IMG_VR_hmmout.txt
# per-seq hits tabular output:     output/IMG_VR_hmmout.tbl.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 0.001
# number of worker threads:        50
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       phage-family-interpro-v4  [M=997]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence                                                                            Description
    ------- ------ -----    ------- ------ -----   ---- --  --------                                                                            -----------
   3.6e-233  786.1   0.0     4e-233  785.9   0.0    1.0  1  IMGVR_UViG_3300006182_000056|3300006182|Ga0075033_1000035|34428-75485_52             
   3.6e-233  786.1   0.0     4e-233  785.9   0.0    1.0  1  IMGVR_UViG_3300026851_000043|3300026851|Ga0209070_100046|34435-75492_52              
   3.9e-233  785.9   0.0   4.8e-233  785.6   0.0    1.0  1  IMGVR_UViG_3300045988_010327|3300045988|Ga0495776_100028_19                          
   4.1e-233  785.9   0.0   4.9e-233  785.6   0.0    1.0  1  IMGVR_UViG_3300045988_008427|3300045988|Ga0495776_002558_37                          
   4.3e-233  785.8   0.0   5.3e-233  785.5   0.0    1.0  1  IMGVR_UViG_3300045988_014362|3300045988|Ga0495776_071933_43                          
   4.3e-233  785.8   0.0   5.2e-233  785.5   0.0    1.0  1  IMGVR_UViG_3300045988_007400|3300045988|Ga0495776_055623_7                           
   4.3e-233  785.8   0.0   5.2e-233  785.5   0.0    1.0  1  IMGVR_UViG_3300045988_010315|3300045988|Ga0495776_019624_36                          
   4.5e-233  785.7   0.0   5.5e-233  785.4   0.0    1.0  1  IMGVR_UViG_3300045988_008078|3300045988|Ga0495776_112819_45                          
   4.5e-233  785.7   0.0   5.5e-233  785.4   0.0    1.0  1  IMGVR_UViG_3300045988_008092|3300045988|Ga0495776_112378_8                           
   4.7e-233  785.7   0.1   5.5e-233  785.4   0.1    1.0  1  IMGVR_UViG_2515154157_000004|2515154157|2515167231|255400-298127_50                  
     5e-233  785.6   0.0   6.1e-233  785.3   0.0    1.0  1  IMGVR_UViG_3300045988_008319|3300045988|Ga0495776_010050_49                          
   5.2e-233  785.5   0.0   6.2e-233  785.3   0.0    1.0  1  IMGVR_UViG_3300045988_009457|3300045988|Ga0495776_019403_19                          
   5.2e-233  785.5   0.0   6.4e-233  785.2   0.0    1.0  1  IMGVR_UViG_3300045988_010355|3300045988|Ga0495776_002568_32                          
   6.2e-233  785.3   0.0   7.4e-233  785.0   0.0    1.0  1  IMGVR_UViG_3300045988_009375|3300045988|Ga0495776_008201_4                           
   6.2e-233  785.3   0.0   7.5e-233  785.0   0.0    1.0  1  IMGVR_UViG_3300045988_009384|3300045988|Ga0495776_110820_44                          
     8e-233  784.9   0.0   9.6e-233  784.6   0.0    1.0  1  IMGVR_UViG_3300045988_004904|3300045988|Ga0495776_110399_7                           
     8e-233  784.9   0.0   9.6e-233  784.6   0.0    1.0  1  IMGVR_UViG_3300045988_009278|3300045988|Ga0495776_001131_41                          
   1.2e-232  784.3   0.0   1.4e-232  784.0   0.0    1.0  1  IMGVR_UViG_3300045988_009270|3300045988|Ga0495776_002495_45                          
   1.2e-232  784.3   0.0   1.4e-232  784.0   0.0    1.0  1  IMGVR_UViG_3300045988_009344|3300045988|Ga0495776_002540_22                          
   1.7e-232  783.8   0.0   2.1e-232  783.5   0.0    1.0  1  IMGVR_UViG_3300045988_009302|3300045988|Ga0495776_173238_21                          
